MolecularFormula,Mass,C,H,O,N,S,P,El_comp,DBE,HC,OC,NC,AI_mod,NOSC,compound_class,log_CIR
C10H12O3S,211.043414,10,12,3,0,1,0,CHOS,5.0,1.2,0.3,0.0,0.3333333333333333,-0.40000000000000036,CRAM,1.2009506381528128
C10H12O5,211.061199287879,10,12,5,0,0,0,CHO,5.0,1.2,0.5,0.0,0.3333333333333333,-0.20000000000000018,other,1.330864365579409
C11H16O4,211.097581015873,11,16,4,0,0,0,CHO,4.0,1.4545454545454546,0.36363636363636365,0.0,0.2222222222222222,-0.7272727272727275,CRAM,1.2785364888296549
C12H20O3,211.1339885,12,20,3,0,0,0,CHO,3.0,1.6666666666666667,0.25,0.0,0.14285714285714285,-1.166666666666667,lipid_like,1.2576168954670945
C8H7O6N,212.020077,8,7,6,1,0,0,CHON,6.0,0.875,0.75,0.125,0.625,1.0,aromatic,0.9479351462622907
C9H11O5N,212.056431421053,9,11,5,1,0,0,CHON,5.0,1.2222222222222223,0.5555555555555556,0.1111111111111111,0.36363636363636365,0.22222222222222232,N_containing,1.3245661003209257
C10H15O4N,212.092841142857,10,15,4,1,0,0,CHON,4.0,1.5,0.4,0.1,0.21428571428571427,-0.40000000000000036,lipid_like,1.3397963491646117
C10H16O4,212.100935,10,16,4,0,0,0,CHO,3.0,1.6,0.4,0.0,0.125,-0.7999999999999998,lipid_like,1.2576555830905343
C11H19O3N,212.129211,11,19,3,1,0,0,CHON,3.0,1.7272727272727273,0.2727272727272727,0.09090909090909091,0.11764705882352941,-0.9090909090909092,lipid_like,1.287572309966011
C7H6O6N2,213.01530312069,7,6,6,2,0,0,CHON,6.0,0.8571428571428571,0.8571428571428571,0.2857142857142857,1.0,1.7142857142857144,condensed_aromatic,0.9289432954888055
C9H10O4S,213.022717285714,9,10,4,0,1,0,CHOS,5.0,1.1111111111111112,0.4444444444444444,0.0,0.3333333333333333,0.0,CRAM,1.2102165517579735
C9H10O6,213.04046345614,9,10,6,0,0,0,CHO,5.0,1.1111111111111112,0.6666666666666666,0.0,0.3333333333333333,0.22222222222222232,other,1.3313753459906272
C10H14O5,213.076846410959,10,14,5,0,0,0,CHO,4.0,1.4,0.5,0.0,0.2,-0.40000000000000036,other,1.371864365579409
C11H18O4,213.113221645833,11,18,4,0,0,0,CHO,3.0,1.6363636363636365,0.36363636363636365,0.0,0.1111111111111111,-0.9090909090909092,lipid_like,1.270336488829655
C11H22O2N2,213.160802,11,22,2,2,0,0,CHON,2.0,2.0,0.18181818181818182,0.18181818181818182,0.0,-1.0909090909090908,lipid_like,1.149479321137634
C7H5O3NS2,213.963812631579,7,5,3,1,2,0,CHONS,6.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.8,1.1428571428571428,condensed_aromatic,0.8910137509141539
C12H9O3N,214.050951655172,12,9,3,1,0,0,CHON,9.0,0.75,0.25,0.08333333333333333,0.7368421052631579,0.0,condensed_aromatic,0.8451681878569614
C9H13O5N,214.072101769231,9,13,5,1,0,0,CHON,4.0,1.4444444444444444,0.5555555555555556,0.1111111111111111,0.18181818181818182,0.0,protein_like,1.2835661003209258
C9H14O5,214.080145,9,14,5,0,0,0,CHO,3.0,1.5555555555555556,0.5555555555555556,0.0,0.07692307692307693,-0.44444444444444464,carbohydrate_like,1.152309793891295
C10H17O4N,214.1085125,10,17,4,1,0,0,CHON,3.0,1.7,0.4,0.1,0.07142857142857142,-0.5999999999999996,lipid_like,1.2987963491646117
C11H21O3N,214.1448554,11,21,3,1,0,0,CHON,2.0,1.9090909090909092,0.2727272727272727,0.09090909090909091,0.0,-1.0909090909090908,lipid_like,1.1919056432993445
C8H8O5S,215.0020042,8,8,5,0,1,0,CHOS,5.0,1.0,0.625,0.0,0.3333333333333333,0.5,other,1.298911035111101
C12H8O4,215.034971,12,8,4,0,0,0,CHO,9.0,0.6666666666666666,0.3333333333333333,0.0,0.7,0.0,condensed_aromatic,0.8359885070714826
C9H12O4S,215.038371,9,12,4,0,1,0,CHOS,4.0,1.3333333333333333,0.4444444444444444,0.0,0.16666666666666666,-0.22222222222222232,CRAM,1.2512165517579734
C9H12O6,215.056105721311,9,12,6,0,0,0,CHO,4.0,1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.0,other,1.3723753459906272
C10H16O5,215.092491986486,10,16,5,0,0,0,CHO,3.0,1.6,0.5,0.0,0.06666666666666667,-0.5999999999999996,carbohydrate_like,1.1669488252238556
C11H20O4,215.128874483871,11,20,4,0,0,0,CHO,2.0,1.8181818181818181,0.36363636363636365,0.0,0.0,-1.0909090909090908,lipid_like,1.1746698221629885
C4H12O3NS2P,215.992315,4,12,3,1,2,1,CHONSP,-0.5,3.0,0.75,0.25,0.0,-1.0,carbohydrate_like,0.7995060232567606
C9H16O5,216.095862,9,16,5,0,0,0,CHO,2.0,1.7777777777777777,0.5555555555555556,0.0,0.0,-0.666666666666667,carbohydrate_like,1.0566431272246282
