sample,n_formulas,mean_CIR,sd_CIR,prop_high_CIR,richness,CIR_CRAM,CIR_N_containing,CIR_aromatic,CIR_carbohydrate_like,CIR_condensed_aromatic,CIR_lipid_like,CIR_other,CIR_protein_like,prop_other,prop_CRAM,prop_lipid_like,prop_aromatic,prop_carbohydrate_like,prop_N_containing,prop_protein_like,prop_condensed_aromatic,site_id,replicate,latitude,longitude,temperature_C,river,state,country,DOC_mgL
S000056.1,1943,1.1610914522837987,0.15402688501326306,0.46680391147709727,1943,1.0218205905433857,1.2107740631135182,0.8669133660640854,1.200004635881133,0.8643150146054134,1.271122684853204,1.247857379538318,1.1304465486512025,0.36284096757591355,0.31240349974266596,0.09469891919711786,0.08080288214101904,0.06176016469377252,0.04529078744209985,0.029336078229541946,0.012866700977869275,S000056,1,46.347558,-119.280801,16.0,Columbia River,Washington,USA,2.168
S000056.2,3249,1.1457208121533093,0.15777021975762945,0.4490612496152662,3249,1.0113711577395337,1.213983713429427,0.8657623569299276,1.2048658368807819,0.9021712810297444,1.271466697534108,1.2526447607214142,1.120836146588933,0.324715297014466,0.3219452139119729,0.09541397353031703,0.08833487226839028,0.07048322560787934,0.049553708833487226,0.030163127116035703,0.019390581717451522,S000056,2,46.347558,-119.280801,16.0,Columbia River,Washington,USA,2.168
S000056.3,3191,1.144950924400325,0.15763277837832998,0.4475086179880915,3191,1.0128639441657554,1.215837409274898,0.8689758576271388,1.2009270388544533,0.8976541234330889,1.2714302407647606,1.251618129350378,1.1230796291993441,0.3265434033218427,0.3158884362268881,0.09589470385459103,0.09620808523973676,0.06957066750235036,0.05139454716389846,0.029144468818552177,0.015355687872140394,S000056,3,46.347558,-119.280801,16.0,Columbia River,Washington,USA,2.168
S000059.1,1869,1.1535399099591672,0.15723705065846602,0.44087747458533977,1869,1.045470341590807,1.207144598738847,0.8641993901810177,1.1969213042328175,0.8823221042788764,1.2909459256742881,1.2476547146474548,1.1421469312995314,0.28785446762974853,0.32263242375601925,0.11342964151952915,0.10058855002675228,0.06741573033707865,0.06527554842161584,0.027287319422150885,0.015516318887105404,S000059,1,39.238368,-84.711626,27.7,Great Miami River ,Ohio,USA,3.637
S000059.2,2583,1.1439729953930926,0.1560002221507178,0.43902439024390244,2583,1.037198241395992,1.216220011888353,0.8691386686539508,1.2009026451821363,0.9022806383535888,1.292547727301247,1.2470391862768313,1.132817794069003,0.27990708478513354,0.3178474641889276,0.10375532326751839,0.10104529616724739,0.07239643825009678,0.07278358497870693,0.030584591560201317,0.02168021680216802,S000059,2,39.238368,-84.711626,27.7,Great Miami River ,Ohio,USA,3.637
S000059.3,3871,1.1412476972721626,0.16049175192908877,0.4265047791268406,3871,1.031707236807449,1.2221670011672636,0.8760072641295001,1.190843426161568,0.9018183418472687,1.2912871259051943,1.249386178867789,1.1351488240104826,0.26711444071299406,0.30663911134073885,0.10720743993800051,0.11624903125807284,0.07543270472746061,0.0702660811159907,0.025574786876776025,0.031516404029966416,S000059,3,39.238368,-84.711626,27.7,Great Miami River ,Ohio,USA,3.637
S000060.1,2306,1.1603608296862016,0.15343809287622115,0.4878577623590633,2306,1.0206256635340096,1.2105304557077143,0.8676526370142581,1.19062479473569,0.8786055022698763,1.2678210673911472,1.249486560150405,1.1304840159379081,0.32914137033824803,0.27840416305290544,0.15004336513443192,0.07025151777970512,0.09236773633998266,0.04423243712055507,0.02818733738074588,0.007372072853425846,S000060,1,46.372781,-119.271912,16.0,Columbia River,Washington,USA,3.467
S000060.2,2285,1.1513678126555424,0.15201870657891037,0.4656455142231947,2285,1.020440090361536,1.2113393416517977,0.8703967332898964,1.2081940974823726,0.8955927074927708,1.2760999601663459,1.2490776627306484,1.1274644440957364,0.3702407002188184,0.3137855579868709,0.07483588621444201,0.08971553610503283,0.05908096280087528,0.05470459518599562,0.028446389496717725,0.009190371991247264,S000060,2,46.372781,-119.271912,16.0,Columbia River,Washington,USA,3.467
S000060.3,1986,1.1513314284778078,0.15228653651447088,0.4692849949647533,1986,1.0220639379744154,1.2012748191092353,0.8667304174862472,1.2044751050212024,0.8789791376215073,1.2820810704120664,1.2490045544230801,1.1296077715123127,0.3867069486404834,0.3021148036253776,0.07049345417925479,0.08610271903323263,0.06243705941591138,0.050352467270896276,0.03121852970795569,0.010574018126888218,S000060,3,46.372781,-119.271912,16.0,Columbia River,Washington,USA,3.467
S000063.1,3297,1.1521822309078362,0.15726338730090192,0.4607218683651805,3297,1.0107253324048406,1.2184131045268896,0.8724783264948996,1.2055763945534321,0.8994425909180018,1.2811480184361328,1.2526709541329937,1.1316122197757976,0.34880194115862906,0.31179860479223537,0.0791628753412193,0.09736123748862602,0.06187443130118289,0.06187443130118289,0.026387625113739762,0.012738853503184714,S000063,1,46.372979,-119.272181,16.0,Columbia River,Washington,USA,1.902
S000063.2,3105,1.1517885803216528,0.1559557395895763,0.46859903381642515,3105,1.0144807841961947,1.2166031095061933,0.8722500161453526,1.205802366139453,0.8922304091400637,1.2858196342190797,1.2524069791882886,1.131949555407953,0.35555555555555557,0.31755233494363927,0.07149758454106281,0.09146537842190017,0.06634460547504026,0.05893719806763285,0.027375201288244767,0.011272141706924315,S000063,2,46.372979,-119.272181,16.0,Columbia River,Washington,USA,1.902
S000063.3,3195,1.154480268765502,0.1558429093714687,0.4676056338028169,3195,1.0145583496484916,1.2148020910290027,0.8708765351251269,1.203719696080889,0.8959042920511444,1.276094879861556,1.2524155380780861,1.1268037185760518,0.3564945226917058,0.30203442879499215,0.07668231611893583,0.09420970266040689,0.07167449139280126,0.05852895148669796,0.02754303599374022,0.012832550860719875,S000063,3,46.372979,-119.272181,16.0,Columbia River,Washington,USA,1.902
S000073.1,3043,1.1540101975455783,0.15609068452330688,0.4607295432139336,3043,1.0144753893446397,1.2155435327054238,0.8708678324659292,1.1983557022719904,0.895219856629439,1.275575210274683,1.250878286509679,1.1302832556402944,0.34834045349983567,0.30397633913900757,0.08511337495892211,0.09497206703910614,0.07032533683864607,0.05718041406506737,0.027275714755175814,0.012816299704239238,S000073,1,46.359512,-119.271805,18.0,Columbia River,Washington,USA,2.212
S000073.2,3249,1.1544190704288724,0.1570123041309061,0.46506617420744845,3249,1.0143191607877586,1.2173000435973802,0.8710372048813319,1.2097264771805096,0.8868160753415517,1.275777609609126,1.25270085682397,1.1328614532216168,0.3471837488457987,0.311788242536165,0.08156355801785165,0.09418282548476455,0.06709756848261003,0.05940289319790705,0.024930747922437674,0.013850415512465374,S000073,2,46.359512,-119.271805,18.0,Columbia River,Washington,USA,2.212
S000073.3,3297,1.1553119920163561,0.15698091889477142,0.4589020321504398,3297,1.0137991447468286,1.2153393080697055,0.8698793039609484,1.2043596311359508,0.8926025206981236,1.2815116345604105,1.252787768182387,1.1341181264205593,0.3481953290870488,0.3127085228996057,0.07643312101910828,0.09190172884440401,0.06763724598119503,0.05823475887170155,0.027600849256900213,0.017288444040036398,S000073,3,46.359512,-119.271805,18.0,Columbia River,Washington,USA,2.212
S000001.1,2678,1.145150439930544,0.1562814150382555,0.46601941747572817,2678,1.0066862676087374,1.2203257401066225,0.8620054289515621,1.1886303381188144,0.8746206821877489,1.2596206343187633,1.2490129404863637,1.1058481679250936,0.33943241224794624,0.31590739357729647,0.12359970126960418,0.07729648991784914,0.062359970126960415,0.041448842419716206,0.02875280059746079,0.011202389843166542,S000001,1,44.16357,-122.332589,6.0,Blue River,Oregon,USA,1.287
S000001.2,2515,1.1366167482295122,0.1547004641838022,0.4393638170974155,2515,1.0079809805764135,1.2193264029684172,0.8645457508430678,1.1756471528465553,0.8727904750676498,1.260423355572254,1.2470287047867366,1.1028349796821815,0.34035785288270376,0.3320079522862823,0.09860834990059641,0.08389662027833002,0.060437375745526836,0.03856858846918489,0.03061630218687873,0.015506958250497018,S000001,2,44.16357,-122.332589,6.0,Blue River,Oregon,USA,1.287
S000001.3,3000,1.1408593587213562,0.15740586904311007,0.4503333333333333,3000,1.0074192347426913,1.2196732127653636,0.8633151871344126,1.1874795285136952,0.8691237762724745,1.2617793624923397,1.249688303298395,1.0999222063857779,0.3233333333333333,0.32966666666666666,0.12366666666666666,0.07466666666666667,0.06933333333333333,0.03766666666666667,0.025666666666666667,0.016,S000001,3,44.16357,-122.332589,6.0,Blue River,Oregon,USA,1.287
S000002.1,2524,1.134835700044158,0.15334986355200592,0.4500792393026941,2524,1.0079559674107468,1.2199048962310899,0.8649581004600017,1.1894745725063574,0.8714445868243587,1.2632336102378448,1.248286881262617,1.1046599030728115,0.348256735340729,0.34746434231378764,0.09072900158478606,0.06854199683042789,0.061014263074484945,0.042789223454833596,0.028129952456418382,0.013074484944532488,S000002,1,44.219477,-122.24108,10.0,WS3,Oregon,USA,1.496
S000002.2,2834,1.14046727466581,0.1549728255438248,0.4573041637261821,2834,1.001481867670385,1.218785964668426,0.8668562605594949,1.1728376301020667,0.8658839704837533,1.260715055518019,1.2481898252650832,1.1060872902512426,0.3048694424841214,0.34086097388849684,0.14820042342978124,0.05575158786167961,0.08327452364149612,0.035285815102328866,0.02364149611856034,0.008115737473535639,S000002,2,44.219477,-122.24108,10.0,WS3,Oregon,USA,1.496
S000002.3,2191,1.1379575956073014,0.15003218277510477,0.4500228206298494,2191,1.007018034952933,1.214356011707706,0.8664334144207667,1.1863203385663244,0.8412700974798578,1.251725619362223,1.244126124633842,1.1024422306655928,0.3331811958010041,0.3537197626654496,0.12368781378366044,0.05750798722044728,0.0629849383842994,0.035600182565038795,0.026928343222272933,0.006389776357827476,S000002,3,44.219477,-122.24108,10.0,WS3,Oregon,USA,1.496
