sample,n_formulas,mean_CIR,sd_CIR,prop_high_CIR,richness,CIR_CRAM,CIR_N_containing,CIR_aromatic,CIR_carbohydrate_like,CIR_condensed_aromatic,CIR_lipid_like,CIR_other,CIR_protein_like,prop_other,prop_CRAM,prop_lipid_like,prop_aromatic,prop_carbohydrate_like,prop_N_containing,prop_protein_like,prop_condensed_aromatic,site_id,replicate,latitude,longitude,temperature_C,river,state,country,DOC_mgL
S000012.3,486,1.166328296228544,0.13919340455786214,0.4773662551440329,486,1.049385132597225,1.1829870545507275,0.8614165182218029,1.1720485568828931,0.8547367975247696,1.2930384311710816,1.2452440153436743,1.1753436275043854,0.4506172839506173,0.3436213991769547,0.10493827160493827,0.01440329218106996,0.047325102880658436,0.01440329218106996,0.006172839506172839,0.018518518518518517,S000012,3,36.001921,-84.249506,21.8,East Fork Poplar Creek,Tennessee,USA,1.841
S000013.1,2483,1.1501133779424884,0.15436365331428686,0.44744260974627464,2483,1.0450230378193333,1.2119710054319062,0.8668028519724147,1.1849773997748443,0.8814834184779571,1.2912328277934775,1.2523271278829657,1.133580681508667,0.25533628674989933,0.33387031816351187,0.13733387031816352,0.07128473620620218,0.09424083769633508,0.05839710028191704,0.03221908981071285,0.017317760773258157,S000013,1,35.966354,-84.357576,21.8,East Fork Poplar Creek,Tennessee,USA,2.541
S000013.2,2810,1.1458739320659008,0.1557923831202455,0.43238434163701067,2810,1.0420524723644657,1.2149677031174468,0.8681167539883418,1.1844080398488726,0.8765276020596194,1.2830057473969718,1.2524840841200302,1.1369277500270123,0.24697508896797152,0.3377224199288256,0.1309608540925267,0.08434163701067615,0.09323843416370106,0.05907473309608541,0.030604982206405694,0.01708185053380783,S000013,2,35.966354,-84.357576,21.8,East Fork Poplar Creek,Tennessee,USA,2.541
S000013.3,1632,1.1482222063582026,0.15194326791125312,0.4362745098039216,1632,1.0543259646591643,1.207647803993839,0.865067764819314,1.1838203398312708,0.881831902804486,1.288298000427218,1.2504338339552736,1.1435599434668862,0.2659313725490196,0.3553921568627451,0.13112745098039216,0.0704656862745098,0.07904411764705882,0.04963235294117647,0.032475490196078434,0.015931372549019607,S000013,3,35.966354,-84.357576,21.8,East Fork Poplar Creek,Tennessee,USA,2.541
S000014.2,1001,1.1759595311097208,0.1392307857910452,0.4755244755244755,1001,1.0515218033993452,1.198337163652428,0.8602570198576411,1.1946446035025133,0.8960488643554336,1.2926729740524447,1.2516301272083978,1.1548595720618857,0.34065934065934067,0.34065934065934067,0.10989010989010989,0.028971028971028972,0.07492507492507493,0.058941058941058944,0.03696303696303696,0.008991008991008992,S000014,2,30.245112,-97.695781,26.5,Lower Colorado River,Texas,USA,3.538
S000014.3,922,1.1809403930661915,0.13541120896139364,0.47288503253796094,922,1.0602036643388548,1.2020004772353472,0.8622571587697339,1.200494243216786,0.8916274273514998,1.2926597856418627,1.2483929539998324,1.124157698047969,0.3600867678958785,0.34598698481561824,0.0911062906724512,0.03470715835140998,0.06832971800433839,0.055314533622559656,0.03796095444685466,0.006507592190889371,S000014,3,30.245112,-97.695781,26.5,Lower Colorado River,Texas,USA,3.538
S000014.4,1690,1.1729891201310285,0.14645549106276284,0.4727810650887574,1690,1.0423686130819483,1.2058551960275277,0.8679607491654169,1.2066327820311202,0.8868639395107102,1.2935066859643722,1.2515053319671612,1.1380101110263816,0.31005917159763313,0.32781065088757394,0.1076923076923077,0.05917159763313609,0.07633136094674556,0.07218934911242604,0.0378698224852071,0.008875739644970414,S000014,4,30.245112,-97.695781,26.5,Lower Colorado River,Texas,USA,3.538
S000022.1,501,1.160286123648698,0.13572353216218666,0.45708582834331335,501,1.0408323203202996,1.2184472225458594,0.8675080420488738,1.1798207425211789,0.8589009279732018,1.2803077151887212,1.2347233977386518,1.2842766288221386,0.4431137724550898,0.36926147704590817,0.09580838323353294,0.021956087824351298,0.041916167664670656,0.011976047904191617,0.001996007984031936,0.013972055888223553,S000022,1,38.509976,-122.883578,63.0,Russian River,California,USA,1.728
S000022.2,434,1.154415430777933,0.13552103855180933,0.4470046082949309,434,1.045229795400132,1.2065901477508028,0.8505255038957841,1.1794626487972084,0.8657355827549742,1.2773448548715634,1.2319099866058312,1.2227260360854202,0.4631336405529954,0.3640552995391705,0.08525345622119816,0.029953917050691243,0.03456221198156682,0.0069124423963133645,0.0069124423963133645,0.009216589861751152,S000022,2,38.509976,-122.883578,63.0,Russian River,California,USA,1.728
S000022.3,1063,1.1594574459513303,0.14122708355281202,0.47130761994355597,1063,1.0315175765040272,1.2057150942490524,0.8651269464169372,1.1880009899424195,0.8646774676009438,1.2674796212024941,1.24252960743428,1.1199483349807886,0.4195672624647225,0.31890874882408277,0.07902163687676388,0.05456255879586077,0.045155221072436504,0.043273753527751646,0.03292568203198495,0.00658513640639699,S000022,3,38.509976,-122.883578,63.0,Russian River,California,USA,1.728
